ACTIVITYCODE,ACTIVITYENGLISH,ACTIVITYARABIC
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513927,Watches & Clocks & Spare Parts Trading,تجارة الساعات وقطع غيارها
G513111,Men's Garment Trading,تجارة الملابس الجاهزة الرجالية
G513947,Photographic Equipment and Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515916,Air-Condition Trading,تجارة مكيفات الهواء
G515216,SIM Trading,تجارة شرائح الهاتف الإلكترونية
G526013,Mobile Phone Repair,إصلاح الهواتف المتحركة
G521904,General Trading,تجارة عامة
O921105,Motion Picture Distributors,توزيع الأفلام السينمائية
O921101,Motion Picture Production,إنتاج الأفلام السينمائية
F454016,Sanitary Installation & Pipes Repairing,إصلاح التمديدات والتركيبات الصحية وتمديدات المياه
F454019,Plaster & Cladding Works,أعمال التكسية
F454011,Wall Paper Fixing,تركيب ورق الجدران
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515953,Calculators and Spare Parts Trading,تجارة الآلات الحاسبة وقطع غيارها
G513921,"Air-Condition, Refrigeration Spare Parts and Components Trading",تجارة قطع غيار أجهزة التكييف والتبريد ومكوناتها
G514304,"Sand, Gravel and Stones Trading",تجارة الرمل والحصى وأحجار البناء
G514303,Cement & Gypsum Trading,تجارة الإسمنت والجبس
G514339,Paint & Varnish Trading,تجارة الأصباغ والملمعات
G514318,Pipes & Fittings Trading,تجارة الأنابيب والمواسير
G514336,Green Buildings Construction materials Trading,تجارة مواد بناء المباني الخضراء
G514315,Pre-Fabricated Houses Trading,تجارة الأبنية الجاهزة وأجزائها
G521904,General Trading,تجارة عامة
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
K702003,Real Estate Rental Intermediary,الوساطة في تأجير العقارات
K702001,Real Estate Buying and Selling Brokerage,الوساطة في بيع العقارات وشرائها
K725001,Computer Repairing & Maintenance,إصلاح أجهزة الحاسب الآلي وصيانتها
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
K724001,IT Infrastructure,إنشاء البنية التحتية لتقنية المعلومات
Other,Other Activity,نشاط آخر
K749941,Customer Care Center,مركز للعناية بالعملاء
Other1,Other Activity1,نشاط آخر1
Other3,Other Activity3,نشاط آخر3
Other2,Other Activity2,نشاط آخر2
Other4,Other Activity4,نشاط آخر4
G515201,Blank Cassettes Trading,تجارة شرائط التسجيل غير المسجلة
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G513913,Cookers and Cook Stoves Trading,تجارة المواقد والأفران والطابخات
G513914,"Audio-visual, Recording Equipment and Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513915,"Refrigerators , Washing Machines & Household Electrical Appliances Trd",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G513917,Light Fitting and Fixtures Trading,تجارة أدوات الإنارة ولوازمها
G515206,Telephones & Telecommunications Equipment Trading,تجارة الهواتف وأجهزة الإتصال السلكي
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454019,Cladding Works,أعمال التكسية
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454015,Electrical Fittings and Fixtures Services,إصلاح التمديدات والتركيبات الكهربائية
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
G514915,Ink and Printing Materials Trading,تجارة الأحبار ومواد الطباعة
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513931,Gifts Trading,تجارة الهدايا
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513945,Suitcases & Travel Requisites Trading,تجارة الحقائب ولوازم السفر
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
G515917,Construction Equipment and Machinery Spare Parts Trading,تجارة قطع غيار معدات وآليات البناء
G515952,"Pumps, Engines, Valves and Spare Parts Trading",تجارة المضخات والمحركات والصمامات ولوازمها
G515935,Environment Protection Equipment Trading,تجارة معدات حماية البيئة
G515931,Industrial Kitchen and Catering Equipment Trading,تجارة معدات المطاعم والمطابخ المركزية
G515927,Water Treatment Equipment Trading,تجارة معدات معالجة المياه وتنقيتها
G515918,Heavy Equipment and Machinery Spare Parts Trading,تجارة قطع غيار الآلات والمعدات الثقيلة
G515923,Water Desalination Equipment Trading,تجارة معدات وآلات إزالة ملوحة المياه ولوازمها
G515969,"Ships, Boats Spare Parts and Components Trading",تجارة قطع غيار السفن والقوارب ومكوناتها
G515906,Oilfield and Natural Gas Equipment and Spare Parts Trading,تجارة معدات وأجهزة آبارالنفط والغاز الطبيعي وقطع غيارها
G515905,Industrial Plant Equipment and Spare Parts Trading,تجارة معدات ومكائن تجهيز المصانع وقطع غيارها
G515904,"Workshop Equipment, Machinery and Spare Parts Trading",تجارة معدات ومكائن الورش وقطع غيارها
G515974,Engines and Machinery Spare Parts Trading,تجارة قطع غيار المكائن والمحركات
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
G513901,Handbags & Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513927,Watches & Clocks & Spare Parts Trading,تجارة الساعات وقطع غيارها
G513931,Gifts Trading,تجارة الهدايا
G513933,Toys & Games Trading,تجارة لعب الأطفال
G513915,"Refrigerators, Washing Machines and Household Electrical Appliances Trading",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G513917,Light Fittings & Fixtures Trading,تجارة أدوات الإنارة ولوازمها
G513931,Gifts Trading,تجارة الهدايا
G513947,Photographic Equipment and Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515213,Satellite Receiving Equipment Trading,تجارة معدات إستقبال القنوات التلفزيونية الفضائية
K702001,Real Estate buying & selling Brokerage,الوساطة في بيع العقارات وشرائها
K701003,Others Property Management Services,خدمات تأجير وإدارة العقارات للغير
K701014,Self- owned Property Management Services,خدمات تأجير وإدارة العقارات الخاصة
G515920,"Handling, Loading & Lifting Equipment Trading",تجارة معدات وآلات الرفع والتحميل
G515930,Lighting Equipment and Requisites Trading,تجارة معدات الإنارة ولوازمها
G515210,Electronic Precision Instruments Trading,تجارة الأجهزة الإلكترونية الدقيقة
G514202,Steel and Basic Steel products trading,تجارة منتجات الحديد الأساسية
G514203,Basic Non Ferrous Metal Products Trading,تجارة المنتجات الأساسية للمعادن غير الحديدية
G513915,"Refrigerators, Washing Machines and Household Electrical Appliances Trading",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G513917,Light Fitting and Fixtures Trading,تجارة أدوات الإنارة ولوازمها
G513921,"Air-Condition, Refrigeration Spare Parts and Components Trading",تجارة قطع غيار أجهزة التكييف والتبريد ومكوناتها
G515206,Telephones and Telecommunications Equipment Trading,تجارة الهواتف وأجهزة الإتصال السلكي
G513947,Photographic Equipment and Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515209,Electronic Cards Trading,تجارة البطاقات الالكترونية
G513101,Textile Trading,تجارة المنسوجات والأقمشة
F452011,Water Pipelines & Stations Contracting,مقاولات إنشاء شبكات ومحطات المياه وإصلاحها
F452009,Road Contracting,مقاولات إنشاء الطرق
F452011,Water Pipelines & Stations Contracting,مقاولات إنشاء شبكات ومحطات المياه وإصلاحها
F453013,Plumbing & Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
H552001,Restaurant,مطعم
H552002,Coffee Shop,مقهى
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513934,Novelties Trading,تجارة التحف الفنية
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513959,Agarwood and Incense Trading,تجارة العود والبخور والطيب
G521904,General Trading,تجارة عامة
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
G513901,Handbags & Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513927,Watches & Clocks & Spare Parts Trading,تجارة الساعات وقطع غيارها
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513934,Novelties Trading,تجارة التحف الفنية
G501004,Used Automobile Trading,تجارة السيارات المستعملة
G501003,Specialized Vehicles Trading,تجارة السيارات ذات الأغراض  المتخصصة
G501002,Buses and Trucks Trading,تجارة الحافلات والشاحنات والقاطرات
G501001,Automobile Trading,تجارة سيارات الركاب
G503004,Used Auto Spare Parts and Requisites Trading,تجارة قطع غيار السيارات ولوازمها المستعملة
G503002,Auto Accessories Trading,تجارة الأجزاء الإضافية للسيارات
G502011,Auto Accessories Fitting,تجهيز السيارات بالأجزاء الإضافية
F453001,"Air-Conditioning, Ventilations & Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
K749301,Building Cleaning Services,خدمات تنظيف المباني والمساكن
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454015,Electrical Fittings and Fixtures Services,إصلاح التمديدات والتركيبات الكهربائية
F454004,Painting Contracting,أعمال الأصباغ والدهانات
G526001,Electric Household Appliances Repair and Maintenance,إصلاح الأجهزة الكهربائية المنزلية وصيانتها
G526003,Air-condition Repairing and maintenance,إصلاح مكيفات الهواء ومعدات التبريد وصيانتها
G514339,Paint and Varnish Trading,تجارة الأصباغ والملمعات
G514919,Insulation and Protection Materials Trading,تجارة المواد العازلة والواقية
G513108,Arab Wear Trading,تجارة الملابس العربية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513109,Baby Wear Trading,تجارة ملابس الأطفال
G513111,Men's Garment Trading,تجارة الملابس الجاهزة الرجالية
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513112,Ladies Garment Trading,تجارة الملابس الجاهزة النسائية
G513933,Toys and Games Trading,تجارة لعب الأطفال
G513945,Suitcases and Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513904,"Stationery, Drawing and Writing Instruments Trading",تجارة الأدوات المكتبية وأدوات الكتابة والرسم
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513110,Underwear Trading,تجارة الملابس الداخلية
G513112,Ladies Garment Trading,تجارة الملابس الجاهزة النسائية
G513116,Slippers and Sandals Trading,تجارة النعال والصنادل
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513120,Garments Accessories Trading,تجارة مستلزمات الملابس
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513945,Suitcases and Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513117,Shoe Trading,تجارة الأحذية
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
G513914,"Audio-Visual, Recording Equipment & Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513915,"Refrigerators , Washing Machines & Household Electrical Appliances Trd",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G515206,Telephones & Telecommunications Equipment Trading,تجارة الهواتف وأجهزة الإتصال السلكي
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
G513933,Toys & Games Trading,تجارة لعب الأطفال
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G513947,Photographic Equipment and Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
K712202,"Handling, Loading and Lifting Equipment Rental",تأجير معدات وآلات التحميل والرفع
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515103,Computer and Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G513915,"Refrigerators , Washing Machines & Household Electrical Appliances Trd",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
F453001,"Air-Conditioning, Ventilations & Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454015,Electrical Fittings & Fixtures Services,إصلاح التمديدات والتركيبات الكهربائية
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
G526013,Mobile Phone Repair,إصلاح الهواتف المتحركة
G515216,SIM Trading,تجارة شرائح الهاتف الإلكترونية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454019,Cladding Works,أعمال التكسية
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
I630101,Customs Broker,المخلص الجمركي
I630101,Customs Broker,المخلص الجمركي
I630103,Cargo Packaging,خدمات حزم البضائع
I602301,Cargo Transport by Heavy Trucks,نقل المواد العامة بالشاحنات الثقيلة
F454009,Interior Decoration,أعمال تنفيذ التصميم الداخلي
G521904,General Trading,تجارة عامة
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454007,Building Maintenance,صيانة المباني
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454013,Landscaping Works,تجميل الساحات الخارجية والداخلية
F454017,Historical Sites Restoration,أعمال ترميم الأبنية الأثرية
F454009,Interior Decoration,أعمال تنفيذ التصميم الداخلي
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
G514300,Building & Construction Materials Trading,تجارة مواد البناء
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513934,Novelties Trading,تجارة التحف الفنية
G514934,Sewing and Embroidery Requisites Trading,تجارة لوازم الخياطة والتطريز
G513929,Pearls and Precious Stones Trading,تجارة اللؤلؤ والأحجار الكريمة
G513931,Gifts Trading,تجارة الهدايا
G513932,Crystal Products Trading,تجارة منتجات البلور (الكريستال)
G514204,Non-Manufactured Precious Metal Trading,تجارة الذهب والمعادن الثمينة غير المشغولة
K701006,Hotel Appartments Rental,تأجير الشقق الفندقية
G503001,Auto Spare Parts and components Trading,تجارة قطع غيار السيارات والمركبات ومكوناتها
G503002,Auto Accessories Trading,تجارة الأجزاء الإضافية للسيارات
G515206,Telephones & Telecommunications Equipment Trading,تجارة الهواتف وأجهزة الإتصال السلكي
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
G521904,General Trading,تجارة عامة
G521904,General Trading,تجارة عامة
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513931,Gifts Trading,تجارة الهدايا
G513933,Toys & Games Trading,تجارة لعب الأطفال
G513901,Handbags & Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
J659901,Investment in Commercial Enterprises & Management,الإستثمار في المشروعات التجارية وتأسيسها وإدارتها
J659902,Investment in Industrial Enterprises & Management,الإستثمار في المشروعات الصناعية وتأسيسها وإدارتها
J659903,Investment in Agricultural Enterprises and Management,الاستثمار في المشروعات الزراعية وتأسيسها وادارتها
I602301,Cargo Transport by Heavy Trucks,نقل المواد العامة بالشاحنات الثقيلة
G524006,Used Heavy Equipment and Machinery Trading,تجارة المعدات والآليات الثقيلة المستعملة
F453001,"Air-Conditioning, Ventilations & Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing & Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454015,Electrical Fittings & Fixtures Services,إصلاح التمديدات والتركيبات الكهربائية
K749301,Building Cleaning Services,خدمات تنظيف المباني والمساكن
G521904,General Trading,تجارة عامة
D181015,Arab Wears Tailoring,خياطة الملابس الرجالية العربية
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515103,Computer and Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G513914,"Audio-visual, Recording Equipment and Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513915,"Refrigerators, Washing Machines and Household Electrical Appliances Trading",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513117,Shoe Trading,تجارة الأحذية
