LOOKUP_CODE,MEANING,DESCRIPTION
D353,Manufacturing of Aircraft & Spacecraft,صناعة الطائرات والمركبات الفضائية
N851,Medical & Health Services,
G523,"Medicals, Pharmaceuticals & Cosmetics Trading",
O922,News Agencies Activities,أنشطة وكالات الأنباء
I622,Non-Scheduled Air Transport,النقل الجوي غير المنتظم
G521,Non-Specialized Trade Activities,تجارة التجزئة في المتاجر غير المتخصصة
C112,Oil & Natural Gas Producing Services,
K749,Other Business Services,خدمات الأعمال الأخرى
K729,Other Computer Related Services,الخدمات الأخرى المتعلقة بالحاسب الآلي
M809,Other Education Services,خدمات التعليم الأخرى
J659,Other Financial & Monetary Institutions,
D369,Other Manufacturing N.E.C.,الصناعات التحويلية الأخرى
C142,Other Mining Works,أعمال التعدين الأخرى
O930,Other Services Activities,الأنشطة الخدمية الأخرى
I602,Other land transport,أنواع النقل البري الأخرى
I641,Postal Services,الخدمات البريدية
M801,Primary Education,التعليم الإبتدائي
D222,Printing & Services Related To Printing,الطباعة والخدمات المتعلقة بها
E401,Production & Distribution of Electricity,إنتاج الطاقة الكهربائية وتوزيعها
E402,Production & Distribution of Gas,إنتاج الغاز وتوزيعه
O921,"Production of Motion Picture, Radio & TV Activities",
D151,"Production, Processing, Preserving of Meat,Vegetables, Fruit & Fats",إنتاج وتجهيز وحفظ اللحوم والأسماك والخضار والفواكه والزيوت والدهون
D221,Publishing,النشر
C141,"Quarrying of Stone, Sand & Clay",استغلال المحاجر لاستخراج الأحجار والرمال والطفل
K701,Real Estate Activities,
D371,Recycling of Metal Waste & Scrap,إعادة تدوير المخلفات المعدنية
D372,Recycling of Non-Metal Waste & Scrap,إعادة تدوير المخلفات غير المعدنية
K712,Renting of Other Machinery & Equipment,تأجير الآلات والمعدات الأخرى
K713,Renting of Personal & Household Goods,تأجير الآلات والسلع المنزلية والشخصية الأخرى
K711,Renting of Transport Equipment,تأجير وسائل النقل
G526,Repair of Personal & Household Goods,إصلاح السلع الشخصية والمنزلية
K731,Research & Experimental Development On Natural Sciences,البحث والتطوير التجريبي في مجالي العلوم الطبيعية والهندسية
K732,Research & Experimental Development On Social Sciences,البحث والتطوير التجريبي في مجال العلوم الاجتماعية والإنسانية
H552,Restaurants & Canteens,المطاعم ومحال بيع الأكل والشرب
D201,Saw milling & Planing of Wood,صناعةالأخشاب وتقطيعها ونشرها
I621,Scheduled Air Transport,النقل الجوي المنتظم
I611,Sea and coastal water transport,النقل المائي البحري والساحلي بين الدول (للركاب والبضائع)
M802,Secondary Education,التعليم الثانوي
O900,"Sewage, Refuse Disposal, Sanitation & Similar Activities",التخلص من مياه المجاري والصحة العامة والأنشطة المشابهة
F451,Site Preparation,عمليات تحضير موقع البناء
N853,Social Work Activities,العمل الإجتماعي
K722,Software Consultancy & Supply,إستشارات برامج الحاسب الآلي
D171,"Spinning, Weaving & Finishing of Textiles",الغزل والنسيج
O924,Sporting & Recreational Activities,الأنشطة الرياضية والترفيهية
I630,Supporting Auxiliary Transport Services & Travel Agencies,خدمات النقل المساعدة وأنشطة وكالات السفر
D191,Tanning of Leather & Manufacture of Leather Products,دباغة وتهيئة الجلود وصناعة الحقائب والسروج والأعنة
I642,Telecommunications,الإتصالات
G512,"Trading of Agricultural Raw Materials, Live Animals & Foodstuff",
G505,Trading of Automotive Fuel,تجارة وقود المركبات بالتجزئة
G513,Trading of Household Goods,
G515,"Trading of Machinery, Equipment & Supplies",
G503,Trading of Motor Vehicle Parts & Accessories,تجارة قطع غيار المركبات وأجزائها
G501,Trading of Motor Vehicles,تجارة المركبات والسيارات
G514,Trading of Non-Agricultural Products,
G519,Trading of Other Products N.E.C.,أنواع البيع بالجملة الأخرى
G524,Trading of Second-Hand Goods,
G504,"Trading, Maintenace, Repair of Motorcycles &Related Parts&Accessories",تجارة الدراجات النارية وقطع غيارها وإصلاحها
N852,Veterinary Services,الخدمات البيطرية
