LOOKUP_CODE,MEANING,DESCRIPTION
D3592,Manufacture of Bicycles,صناعة الدراجات الهوائية
D2022,Manufacture of Builder'S Carpentary & Joinery,أعمال النجارة وصناعة مستلزمات الأبنية
D1543,Manufacture of Chocolate & Sugar Confectionery,صناعة الشيكولاته والحلويات السكرية
D1723,"Manufacture of Cordage, Rope, Twine & Netting",صناعة الحبال والشباك
D2102,"Manufacture of Corrugated Paper, Paperboard & Paper Containers",صناعة الورق المموج والأوعية الورقية
D1520,Manufacture of Dairy Products,صناعة الألبان ومنتجاتها
D2424,Manufacture of Detergents & Cosmetics,صناعة المنظفات ومستحضرات التجميل
D2930,Manufacture of Domestic Appliances,صناعة الآلات والأجهزة المنزلية
D3150,Manufacture of Electric Lamps & Lighthing Equipment,صناعة المصابيح ومعدات الإنارة
D3110,"Manufacture of Electric Motors, Generators & Transformers",صناعة المولدات والمحولات الكهربائية
D3120,Manufacture of Electricity Distribution & Control Apparatus,صناعة معدات نقل الطاقة والتحكم بها
D3210,"Manufacture of Electronic Valves, Tubes & Other Electronic  Components",صناعة الصمامات والأنابيب الإلكترونية والمكونات الكهربائية الأخرى
D2911,Manufacture of Engines & Turbines,صناعة المحركات والعنفات
D2412,Manufacture of Fertilizers & Nitrogen Compounds,صناعة الأسمدة والمخصبات
D1920,Manufacture of Footwear,صناعة الأحذية
D3610,Manufacture of Furniture,صناعة الاثاث
D3694,Manufacture of Games & Toys,صناعة لعب الأطفال
D2610,Manufacture of Glass & Glass Products,صناعة الزجاج والمنتجات الزجاجية
D1531,Manufacture of Grain Mill Products,طحن الحبوب وتهيئتها
D2893,Manufacture of Hardware & Metal Tools,صناعة العدد اليدوية والأدوات المعدنية
D3313,Manufacture of Industrial Process Control Equipment,صناعة أجهزة القياس والتحكم الصناعية
D3130,Manufacture of Insulated Wire & Cable,صناعة الأسلاك والكابلات المعزولة
D3691,Manufacture of Jewellery & Related Articles,صناعة المصوغات من الذهب والمجوهرات
D1912,"Manufacture of Luggage, Handbags & Leather Products",صناعة الحقائب والمنتجات الجلدية
D1721,Manufacture of Made-Up Textile Articles,صناعة المنتوجات المصنوعة من المنسوجات
D3802,Manufacture of Metal Works,إنتاج المشغولات المعدنية
D3410,Manufacture of Motor Vehicles,صناعة المركبات
D3591,Manufacture of Motorcycles,صناعة الدراجات النارية
D3692,Manufacture of Musical Instruments,صناعة الأدوات والآلات الموسيقية
D2691,Manufacture of Non-Structural Non-Refractory Ceramic Ware,صناعة الأواني الخزفية
D3320,Manufacture of Optical Products,صناعة النظارات والأدوات البصرية
D2429,Manufacture of Other Chemical Products N.E.C.,صناعة المنتجات الكيماوية التي لم تصنف في مكان آخر
D3190,Manufacture of Other Electrical Equipment N.E.C,صناعة المعدات واللوازم الكهربائية الأخرى
D1549,Manufacture of Other Food Products,صناعة المواد الغذائية التي لم تصنف في مكان آخر
D2919,Manufacture of Other General Purpose Machinery,صناعة الآلات الأخرى للأغراض العامة
D3809,Manufacture of Other Handicrafts,الصناعات الحرفية الأخرى
D2899,Manufacture of Other Metal Products,صناعة المشغولات المعدنية الأخرى
D2699,Manufacture of Other Mineral Products,صناعة الخامات التعدينية التي لم تصنف في مكان آخر
D2109,Manufacture of Other Paper Products,صناعة المنتجات الورقية الأخرى
D2029,Manufacture of Other Products of Wood,صناعة المنتجات الخشبية الأخرى
D2519,Manufacture of Other Rubber Products,صناعة المنتجات المطاطية الأخرى
D2929,Manufacture of Other Special Purpose Machinery,صناعة الآلات التخصصية التي لم تصنف في مكان آخر
D1729,Manufacture of Other Textiles,صناعة المنسوجات الأخرى
D3599,Manufacture of Other Transport Equipment N.E.C.,صناعة وسائل النقل الأخرى التي لم تصنف في مكان آخر
D2422,Manufacture of Paints & Varnishes,صناعة الأصباغ والملمعات
D2101,Manufacture of Paper,صناعة الورق
D3430,"Manufacture of Parts, Accessories For Motor Vehicles & Their Engines",صناعة أجزاء المركبات وقطع غيارها
D2421,Manufacture of Pesticides & Other Agro-Chemical Products,صناعة المبيدات والكيماويات الزراعية
D2423,Manufacture of Pharmaceuticals & Medicinal Chemicals,صناعة العقاقير والأدوية
D2413,Manufacture of Plastic In Primary Forms & Synthetic Rubber,صناعة خامات البلاستيك والمطاط الإصطناعي
D2520,Manufacture of Plastic Products,صناعة المنتجات البلاستيكية
D1533,Manufacture of Prepared Animal Feeds,صناعة الأعلاف وأغذية الحيوانات
D2912,"Manufacture of Pumps, Compressors, Taps & Valves",صناعة المضخات والصمامات
D3220,"Manufacture of Radio, TV Transmitters & Telecommunications Eqpt.",صناعة أجهزة البث والإتصالات
D2320,Manufacture of Refined Petroleum Products,صناعة منتجات تكرير النفط
D2692,Manufacture of Refractory Ceramic Products,صناعة منتجات الآجر والسيراميك المستخدمة في البناء
D2511,"Manufacture of Rubber Tyres, Retreading & Rebuilding of Rubber Tyres",صناعة الإطارات وتجديدها
D1554,Manufacture of Soft Drinks & Production of Mineral Water,صناعة المرطبات والمياه المعدنية
D3693,Manufacture of Sports Goods,صناعة الأدوات واللوازم الرياضية
D2811,Manufacture of Structural Metal Products,صناعة المنتجات المعدنية الإنشائية
D1542,Manufacture of Sugar,صناعة السكر
D2812,"Manufacture of Tanks, Reservoirs & Containers",صناعة الصهاريج والخزانات والأحوية المعدنية
D1600,Manufacture of Tobacco Products,صناعة منتجات التبغ
D3420,Manufacture of Trailers & Bodies For Motor Vehicles,صناعة المقطورات وهياكل المركبات
D1514,"Manufacture of Vegetable, Animal Oils & Fats",صناعة الزيوت والدهون النباتية والحيوانية
D3330,Manufacture of Watches & Clocks,صناعة الساعات
D1810,Manufacture of Wearing Apparel,صناعة الملابس الجاهزة
D3000,"Manufacture of office, Accounting & Computing Machinery",صناعة الآلات والأجهزة المكتبية والحاسبة
D3530,Manufacturing of Aircraft & Spacecraft,صناعة الطائرات والمركبات الفضائية
K7413,Marketing Services,الخدمات التسويقية
N8512,Medical Clinics,العيادات الطبية
G5231,"Medicals, Pharmaceuticals & Cosmetics Trading",تجارة المستحضرات الصيدلانية واللوازم الطبية ومستلزمات التجميل
O9211,Motion Picture Production & Distribution,إنتاج الأفلام وتوزيعها
O9232,Museums & Historical Sites,المتاحف والمواقع الأثرية
O9220,News Agencies Activities,أنشطة وكالات الأنباء
I6220,Non-Scheduled Air Transport,النقل الجوي غير المنتظم
I6022,Non-Scheduled Passenger Land Transport,نقل الركاب براً على خطوط غير منتظمة
G5211,Non-Specialized Trade Activities Related To Food & Beverages,الأنشطة غير التخصصية التي تعمل في تجارة المواد الغذائية
G5219,Non-Specialized Trade Activities Related To Other Goods,الأنشطة غير التخصصية التي تعمل في تجارة السلع الأخرى
C1120,Oil & Natural Gas Producing Services,الخدمات المتعلقة بإنتاج البترول والغاز الطبيعي
K7499,Other Business Activities N.E.C,أنشطة خدمات الأعمال التي لم تصنف في مكان آخر
K7496,Other Cleaning Activities,أنشطة التنظيف الأخرى
K7290,Other Computer Related Services,الخدمات الأخرى المتعلقة بالحاسب الآلي
M8090,Other Education Services,خدمات التعليم الأخرى
J6599,Other Financial Institutions N.E.C.,المؤسسات المالية والنقدية التي لم تصنف في مكان آخر
N8519,Other Human Health Activities,أنشطة الطب البشري الأخرى
J6603,Other Insurance Services,خدمات التأمين الأخرى
D3699,Other Manufacturing N.E.C.,صناعات تحويلية لم تصنف في مكان آخر
C1429,Other Mining & Quarrying N.E.C.,إستخراج الخامات التي لم تصنف في مكان آخر
O9309,Other Personal Services N.E.C.,الخدمات الشخصية الأخرى التي لم تصنف في مكان آخر
D2219,Other Publishing,عمليات النشر الأخرى
O9219,Other Recreational Activities,أنشطة التسلية الأخرى
I6303,Other Supporting Transport Activities,خدمات النقل المساعدة الأخرى
K7495,Packaging Activities,أنشطة التعبئة والتغليف
G5139,Personal & Household Products N.E.C,تجارة المنتجات الشخصية والمنزلية التي لم تصنف في مكان آخر
K7494,Photographic Services,خدمات التصوير الفوتوغرافي
I6411,Postal Services,الخدمات البريدية
D1711,"Preparation, Spinning of Textile Fibres & Weaving of Textiles",الغزل والنسج وتجهيز المنسوجات
M8010,Primary Education,التعليم الابتدائي
D2221,Printing,الطباعة
D1512,"Processing, Canning, Preserving of Fish & Seafood",تجهيز الأسماك والأغذية البحرية وتعليبها وحفظها
D1513,"Processing, Preserving of Fruit & Vegetables",تعليب الفواكه والخضار والبقول وحفظها
E4010,Production & Distribution of Electricity,إنتاج الطاقة الكهربائية وتوزيعها 
E4020,Production & Distribution of Gas,إنتاج الغاز وتوزيعه
D1511,"Production, Processing, Preserving of Meat & Meat Products",إنتاج اللحوم ومنتجاتها وتهيئتها وحفظها
G5136,Professional & Personal Articles & Products Trading,تجارة الأدوات والأجهزة المهنية والشخصية
O9112,Professional Orgnizations,المنظمات المهنية
G5133,Publications Media & Staionery Trading,تجارة المطبوعات والمواد الإعلامية واللوازم المكتبية
D2211,Publishing of Books & Other Publications Services,خدمات نشر الكتب والمطبوعات
D2212,"Publishing of Newspapers, Journals & Periodicals",نشر الصحف والمجلات والدوريات
C1410,"Quarrying of Stone, Sand & Clay",إستخراج الأحجار والرمل والغضار
O9213,Radio & TV Activities,الأنشطة الإذاعية والتلفزيونية
K7010,Real Estate Activities,أنشطة العقارات
O9249,Recreational Activities,الأنشطة الترفيهية
D3710,Recycling of Metal Waste & Scrap,إعادة تدوير المخلفات المعدنية
D3720,Recycling of Non-Metal Waste & Scrap,إعادة تدوير المخلفات غير المعدنية
N8513,Rehabilitation Centers,مراكز التأهيل
K7121,Renting of Agricultural Machinery & Equipment,تأجير الآلات والمعدات الزراعية
K7122,"Renting of Construction, Civil Engineering Machinery & Equipment",تأجير معدات التشييد والهندسة المدنية
K7129,Renting of Other Machinery & Equipment N.E.C,تأجير الآلات والمعدات الأخرى
K7130,Renting of Personal & Household Goods,تأجير الآلات والسلع المنزلية والشخصية
K7111,Renting of Transport Equipment,تأجير وسائل النقل
K7123,Renting of office Machinery & Equipment,تأجير الآلات والمعدات المكتبية
G5260,Repair of Personal & Household Goods,إصلاح السلع الشخصية والمنزلية
K7310,Research & Experimental Development On Natural Science,دراسات العلوم التطبيقية
K7320,Research & Experimental Development On Social Science,دراسات العلوم الإجتماعية
H5520,Restaurants & Canteens,المطاعم ومحال بيع الاكل والمشروب
D2010,Sawmilling & Planing of Wood,تقطيع الأخشاب ونشرها
I6210,Scheduled Air Transport,النقل الجوي المنتظم
I6021,Scheduled Passenger Land Transport,نقل الركاب براً على خطوط منتظمة
I6110,Sea Transport,النقل البحري
M8021,Secondary Education,التعليم الثانوي العام
J6712,Security Dealing Activities,أنشطة التعامل بالأوراق المالية
D2222,Service Activities Related To Printing,الخدمات المتعلقة بالطباعة
O9000,"Sewage, Refuse Disposal , Sanitation & Similar Activities",الصرف الصحي والنظافة العامة
F4510,Site Preparation,عمليات تحضير موقع البناء
N8531,Social Work Activities,العمل الإجتماعي
K7220,Software Consultancy & Supply,خدمات برامج الحاسب الآلي
O9241,Sporting Activities,الأنشطة الرياضية
I6302,Storage & Warehousing,التخزين
D3800,Tailoring & Sewing of Garments,تفصيل الملبوسات وتجهيزها وحياكتها
D1911,Tanning & Dressing of Leather,دباغة الجلود وتهيئتها
K7422,Technical Testing & Analysis Services,خدمات الإختبار والتحليل الفني
I6420,Telecommunications,الإتصالات
G5121,Trading of Agricultural Raw Materials & Live Animals,تجارة المحاصيل الزراعية والحيوانات الحية
G5050,Trading of Automotive Fuel,تجارة وقود المركبات
G5143,Trading of Construction Materials,تجارة مواد البناء
G5122,"Trading of Food, Beverages & Tobacco",تجارة المواد الغذائية والمشروبات والتبغ
G5149,"Trading of Intermediate Products, Waste & Scrap",تجارة المنتجات الوسيطة والمخلفات
G5150,"Trading of Machinery, Equipment & Supplies",تجارة الآلات والمعدات والأجهزة
G5142,Trading of Metals & Metal Ores,تجارة المعادن والمنتجات المعدنية
G5030,Trading of Motor Vehicle Parts & Accessories,تجارة قطع غيار المركبات وأجزائها
G5010,Trading of Motor Vehicles,تجارة المركبات والسيارات
G5190,Trading of Other Products N.E.C.,تجارة المنتجات التي لم تصنف في مكان آخر
G5240,Trading of Second-Hand Goods,تجارة السلع والمنتجات المستعملة
G5141,"Trading of Solid, Liquid & Gaseous Fuels",تجارة الوقود والمحروقات
G5131,"Trading of Textils, Clothing & Footwear",تجارة المنسوجات والملابس الجاهزة والأحذية
G5040,"Trading, Maintenance, Repair of Motorcycles & Related Parts & Accesso",تجارة الدراجات النارية وقطع غيارها وإصلاحها
N8520,Veterinary Services,الخدمات البيطرية
M8022,Vocational & Technical Secondary Education,التعليم الثانوي الفني والمهني
O9301,Washing & Cleaning Services,خدمات الغسل والتنظيف
O9233,"Zoological, Botanical Gardens & Natural Reserves",حدائق الحيوان والأحياء المائية والنباتات والمحميات الطبيعية
